GCSs_coordinate	N3E
2557803	7,096566301
3638430	7,171678868
211337	7,178051552
3299971	7,2114781
1790902	7,21976472
2702454	7,246655793
447638	7,271081409
2850690	7,297735721
3676012	7,324168714
2066129	7,34748589
3961382	7,36567019
4171496	7,379905897
2314025	7,417069882
3253336	7,418951484
3253341	7,418951484
4161552	7,419098475
3235394	7,419466234
946612	7,422742507
3859866	7,429356598
3298388	7,445550849
3320772	7,450697858
3303586	7,452501831
3253363	7,458935021
1993171	7,464368251
2841231	7,465778675
1988147	7,474952274
4091605	7,484868651
2280736	7,494988558
2599750	7,498430443
4097042	7,533751515
2817092	7,553127792
1115729	7,55911638
4023994	7,565985297
679504	7,573473625
121848	7,582163653
581485	7,591133088
3793086	7,602758806
3648653	7,609781119
594405	7,621106723
1017224	7,633252293
3483384	7,634345296
3253421	7,649190982
3253426	7,649190982
3263858	7,650086078
3692384	7,654589687
399403	7,657589429
439639	7,658941224
3086074	7,675972598
442480	7,676126189
556680	7,677182926
3841722	7,683554344
932231	7,685299591
3320065	7,686544826
2314560	7,700454149
2253407	7,702988195
3700365	7,704502101
369260	7,712603441
3692798	7,712742593
847937	7,712783909
4341659	7,722171017
4369699	7,726427649
3692378	7,730460244
1734683	7,731769156
979367	7,736728764
1988920	7,74652788
3436164	7,758862787
3122198	7,767873021
2304028	7,780240144
4350462	7,782255693
851626	7,78890039
3232756	7,832632392
2568846	7,8386106
45359	7,847941316
3183481	7,852342062
983106	7,861509391
98974	7,869008584
3984794	7,877703769
3849533	7,87940608
3443422	7,885933972
3885555	7,890519846
4313376	7,894935133
2651775	7,89656838
1172434	7,900697995
3789068	7,902748076
2387854	7,904601313
4243546	7,918193427
3692786	7,921114581
3018839	7,928072226
4121796	7,943128892
4100494	7,944479889
149483	7,94640017
110558	7,946654205
3543051	7,947992791
3737756	7,950922096
3845797	7,954620896
1756420	7,956815088
1739236	7,9603645
3962632	7,962008029
3692375	7,963344329
2069008	7,963388374
3692369	7,963453596
2650014	7,972652988
610822	8,018320628
4095574	8,022448246
31004	8,024391472
2541961	8,0263313
741409	8,03303599
411683	8,033544614
3948353	8,034167964
742104	8,035552327
2631289	8,036112189
3253349	8,038037553
3677788	8,040889525
1194105	8,044089827
629285	8,044855953
344538	8,045628312
3178557	8,046903183
3988404	8,047311839
232184	8,049583659
392232	8,057077509
2151394	8,062662148
3323129	8,073519101
2693096	8,087956855
3399492	8,094802557
3031877	8,115893175
2192569	8,118976267
1378548	8,120821218
4392990	8,124218844
1115733	8,129435452
2409563	8,141647656
3785812	8,142666377
2589652	8,146054362
3294727	8,149162413
1617577	8,156434564
1329126	8,162406573
747528	8,170936365
1227138	8,173371127
984081	8,174073524
4081418	8,184854659
3232740	8,192683869
3700069	8,198137876
1139064	8,198527966
3183482	8,214954523
2789413	8,217684189
115110	8,221529626
1843102	8,228284924
3682964	8,238041747
2260030	8,25779016
204167	8,262407179
4101236	8,267131019
2278552	8,269345729
4023180	8,271246895
3900007	8,273066297
3165560	8,278288693
1993170	8,278724974
3542239	8,279778888
4370299	8,282379398
4370304	8,282379398
4476613	8,293633989
2893282	8,300949069
3996560	8,315303347
201246	8,320630488
2828762	8,320965009
3213091	8,338397082
1796422	8,349866919
802700	8,354771796
3984346	8,355454717
467250	8,356921724
2214236	8,357003529
4550267	8,359453914
2527647	8,364110953
3296138	8,368199033
3585471	8,370074903
411959	8,372797401
928498	8,378735414
3551742	8,380222217
3840875	8,381434197
3841802	8,382043324
3844955	8,38916765
3006980	8,389264252
3691916	8,391134412
1731262	8,393026329
36957	8,393922394
826325	8,396937682
3777632	8,403285005
28995	8,411166435
1741562	8,415750319
3692379	8,416514956
1351986	8,420841512
2813092	8,422468142
574534	8,425757967
2589655	8,428194757
4320308	8,429433016
1000809	8,434602368
596268	8,438829739
3461292	8,439094712
3205989	8,439684036
3170339	8,440843568
4094472	8,464425137
2059239	8,469253348
3540760	8,472159165
4160502	8,482192666
32487	8,484318042
4359371	8,492242129
1970142	8,496092192
1681652	8,497594051
3948352	8,510777925
3449081	8,51207253
3170187	8,525388492
3248726	8,535976873
3805551	8,547293236
2420824	8,547968108
2568100	8,550366933
2180201	8,554452919
3961177	8,554795601
3846837	8,564272768
3846902	8,564285905
244314	8,566213445
3294729	8,568144536
4397986	8,581760976
2460468	8,586272342
2587446	8,588771661
3018837	8,597415247
1114618	8,599269167
2312375	8,611876609
3754060	8,61549688
2214626	8,617837531
4298366	8,620999194
52293	8,624988332
3561253	8,630431047
37163	8,649041845
742180	8,670931644
2218849	8,67099094
133885	8,67474312
428339	8,693874389
583228	8,70553011
3122441	8,722443235
261161	8,729007778
1993172	8,729527572
4125830	8,736403307
1070608	8,736466375
3948647	8,740656959
990259	8,747136908
3839005	8,752183654
3252676	8,755091669
4097368	8,755210417
2492114	8,756642611
4273381	8,766469966
4283399	8,77558529
943741	8,775976733
1162090	8,776438484
3357733	8,785279529
3272324	8,790850955
2182789	8,794657872
3961178	8,795189062
3977513	8,795561844
3084026	8,807024389
238807	8,814006955
3755440	8,817017163
607133	8,820746785
2656119	8,8238953
2651774	8,836061552
389861	8,84021581
2468109	8,840436833
261857	8,847333343
3839895	8,852265863
2221481	8,864704796
1951036	8,867732845
3746738	8,868300212
1662223	8,871706387
37164	8,873871058
949257	8,876115136
194921	8,878893654
2528220	8,882474902
143954	8,886894188
3627264	8,888259898
3473582	8,892500322
3974466	8,897979713
381043	8,89813298
1902833	8,902291764
4206922	8,902939852
248538	8,905486387
4314450	8,908352407
4154536	8,90998065
3216513	8,911888728
2586376	8,91225745
1890605	8,939857776
1890610	8,939857776
4081358	8,943185972
725076	8,943362828
997889	8,949718814
3401410	8,963378924
3846905	8,986464836
3418618	8,991126996
4115146	9,000671264
4350463	9,003733604
35132	9,004258712
1484502	9,00478883
989755	9,02172834
2698903	9,024804908
4284804	9,026133685
3253513	9,026752645
913214	9,028574368
247125	9,042018355
3291280	9,05286044
1372246	9,055667827
2278547	9,057628974
3655662	9,060253399
3388805	9,062975452
723574	9,063608137
3181476	9,070908089
2932340	9,075311599
3953760	9,077724082
3691384	9,079537745
3948429	9,087043171
3740904	9,087555485
3275892	9,095540602
2198409	9,097951318
3763407	9,098216021
4411028	9,107577666
207545	9,112426877
2433471	9,114735035
2924663	9,115347686
743631	9,116498099
3947717	9,117736233
3947841	9,118295951
1039573	9,127987522
395314	9,130146323
260496	9,130320375
1020360	9,131230554
3692372	9,132303992
3692377	9,132303992
132809	9,137586048
3266781	9,142096789
2398539	9,142358496
3959114	9,143334038
985152	9,153750077
2876130	9,155152191
3785316	9,155923896
2606260	9,16070497
1988570	9,162815004
409946	9,165793531
2420278	9,168214408
2610657	9,170306181
354012	9,17181683
3461291	9,174624291
4085605	9,176144432
2574955	9,178637242
3181353	9,178720949
4241786	9,179682393
4537190	9,185620017
1992908	9,186504723
2187727	9,188222731
851636	9,201031238
943365	9,205836076
205740	9,207905279
201685	9,222072166
1966379	9,222595964
2269733	9,225863614
3838625	9,23006456
37157	9,239953982
407819	9,24332984
995845	9,243842905
1739235	9,249496894
3804386	9,259074624
3159304	9,260783637
1190192	9,260973039
3846103	9,263764681
949256	9,264190582
3961427	9,26594761
1314372	9,279929921
2890355	9,283951841
1992704	9,287587829
3871210	9,28855143
2582369	9,289461829
1115735	9,294302627
2591753	9,30161202
3955978	9,306226128
3983934	9,307591147
4173740	9,30943601
951091	9,315012484
407786	9,316830565
988068	9,317279208
2580305	9,317619394
2560247	9,321947427
3977035	9,321975929
3843497	9,328623818
4131293	9,333576373
4146750	9,333690671
2137497	9,340782629
3490351	9,341444905
3509403	9,341698768
258126	9,345254459
2438637	9,361754391
4346830	9,368293493
2535091	9,37669814
943699	9,381960479
1858208	9,383653743
450860	9,39084126
3178932	9,391182997
2782433	9,391398999
2712137	9,39844241
3431709	9,402670669
1293967	9,405497812
3272570	9,4067352
653182	9,408520517
4155229	9,412437937
3861292	9,420689867
3298203	9,420928259
3300596	9,427343087
2582075	9,427686917
4083047	9,442815237
1294411	9,445115402
1223568	9,445781647
1158728	9,460403809
3766660	9,460664762
2305081	9,481025712
2476050	9,48170401
2876134	9,486150421
3802301	9,486779462
1166333	9,491643864
2645002	9,495968483
4198610	9,498867575
3166026	9,51431089
139691	9,514637838
2311970	9,520440742
3165833	9,524017616
1179679	9,528969677
3958197	9,540755662
4475423	9,54236965
439020	9,543404404
912149	9,548475159
351579	9,549006986
3837855	9,550367593
34141	9,560591284
3966408	9,561955679
1336871	9,570935062
2850657	9,575074674
3547237	9,576195174
997967	9,578387013
2591140	9,586264405
2581573	9,592166538
2136386	9,594461516
2196200	9,603508736
1655470	9,607305363
1291284	9,616218253
3232936	9,635325464
4026620	9,642778018
2222950	9,644428774
3409089	9,64516369
3050590	9,652844531
2651771	9,66380125
745111	9,677421217
1734766	9,683977658
3414712	9,692780971
259847	9,700070408
2556785	9,705734059
4166983	9,71248291
3948626	9,714318698
1194098	9,715943831
731862	9,71987854
732582	9,731787355
2198186	9,741310258
2528862	9,742449508
236774	9,743359857
3181766	9,745717
2545972	9,746523449
3230701	9,746785498
2893280	9,75685546
923528	9,760394323
698038	9,764598707
