GCSs_coordinate	N3E
3948360	294.870048
3839899	196.2650839
2182111	136.6807027
2788989	116.8555756
3360688	100.2274949
3730330	96.50885111
3401413	92.16882181
739874	91.79577224
2523338	89.26803694
463587	88.12433578
4283398	87.71564085
1983741	84.68680744
3282952	78.04773285
3461296	74.81204826
3776485	70.16647446
4370303	68.15071192
932230	67.93211698
3167687	62.19734994
3199926	62.0476638
2924609	61.28718239
409611	61.24022306
4081672	58.44858424
3450062	58.13666014
3051353	58.03539935
258475	55.8012129
1884458	55.38591778
3939602	54.34789652
3949784	52.97587203
409823	52.13740792
3838557	51.1402366
3074943	50.92100371
1328949	50.79200354
1660558	50.2557374
401504	50.18081203
3253523	50.04410894
1329146	49.67150112
1705104	49.64367646
490482	48.81469148
2433472	47.58565543
2610405	47.53626575
3294728	47.52956848
2905267	46.94239491
3086441	46.4500202
164266	46.2893131
3222345	45.87263291
1600190	45.83462341
3390563	45.1931673
416956	44.85951703
3962628	44.71519465
1988138	44.34965569
137611	43.32834217
238559	43.32151254
2237580	43.22143891
132821	43.21595683
4114440	42.42787142
1114617	42.03568923
4093733	41.44113221
4122560	41.4202058
35317	41.07144907
4315440	40.86730224
232965	40.0534859
2786543	39.82173547
3275592	39.69003307
2502511	39.62292187
389484	39.47411912
1983135	39.14566351
3253522	39.12532941
3302761	38.62619863
1372257	37.62858569
4081848	37.62066995
51956	37.366557
3870700	37.10126718
2470339	36.95176614
800448	36.76835024
1675456	36.20254564
3125143	35.89955734
3298208	35.81100085
2586397	35.70286107
3721720	35.52289994
411688	35.26420308
1294457	34.99273505
2215099	34.72507292
3966364	34.65929738
1378545	34.62141767
1174317	34.59836347
405853	34.56494193
4549635	34.54373934
3275663	34.37818158
2587400	34.31338642
3063371	34.02844461
618466	33.99654679
3524503	33.89045889
3585472	33.86482165
28632	33.6672202
3948428	33.3924141
2220943	33.12705818
1234567	32.56092057
4121661	32.18869197
4432345	31.91309557
3780592	31.84332044
4270445	31.68385367
3566620	31.58996325
4367020	31.56209129
3280706	31.40886718
234723	31.36228617
4350551	30.81440785
626869	30.77262081
4124900	30.76739941
3786841	30.55442719
480301	30.44752166
1627635	30.4219517
3283724	30.1521301
3837789	30.08394158
428212	30.02178912
2856688	29.91239149
3295835	29.88021006
2494566	29.73565932
4396293	29.61294547
3283867	29.56914344
3551741	29.51076722
3205987	29.42998757
3280214	29.3725722
136704	28.92864104
3319846	28.72581785
31726	28.70365406
1023714	28.39169987
3480042	28.37976458
515162	28.3783784
613588	28.31562348
744480	28.20485103
258294	28.17214892
3841217	28.06538712
4081351	28.03943285
4323846	27.97691817
1329124	27.82126287
1018031	27.7647213
1329572	27.73678062
731456	27.73053894
2890353	27.71642688
739686	27.6577799
3957039	27.63330391
3805332	27.58997019
1022256	27.47979359
3192990	27.40427284
2587320	27.24306204
3278482	27.06331577
3372364	27.04488746
591980	27.00511007
1675455	26.90228536
2890354	26.83740539
3480291	26.75287963
4081417	26.56910438
3440172	26.56707212
4321093	26.55189925
2652606	26.48220432
15213	26.44501833
2503033	26.42380396
3847802	26.38615771
4080745	26.37117846
2219297	26.35764108
1973204	26.35054678
106442	26.32898185
3450899	26.3082865
3664229	26.30463309
4125128	26.23691481
389862	26.20567561
4089880	26.11052733
1018030	26.02120205
399052	25.69607918
3279094	25.61303262
741444	25.55516032
4023970	25.50346223
2651770	25.47310792
2187865	25.46286775
3766658	25.4119734
2591442	25.35442706
3778494	25.30968402
3328107	25.29130714
3627263	25.19726718
3650639	25.18079567
3178934	25.14870461
3626900	25.12772201
4127063	25.10506563
467151	25.07263982
31734	25.06559346
483766	25.04736556
4271117	25.02627663
1178769	25.02039233
2562453	24.99537789
631506	24.98003495
2506586	24.97756856
2436664	24.94340026
1020888	24.90600979
3776289	24.90251929
2466007	24.83925833
402696	24.83505809
4489383	24.81732878
3396336	24.7119084
4424958	24.69636766
403070	24.69183934
983361	24.67890957
2196196	24.59066029
1294010	24.54710077
1009934	24.53477017
4101237	24.50940735
3435778	24.48213399
3627541	24.41571905
4425898	24.39629865
399405	24.35718152
944075	24.35496851
2048787	24.31258923
3232762	24.28027174
383118	24.18003566
3839556	24.09897
4055743	24.06988016
942286	24.04213531
4283355	24.01109904
3396335	23.91420287
216324	23.83661354
748085	23.83554383
718210	23.83388137
2497878	23.81437877
4243437	23.71654718
2260715	23.68817078
589469	23.67636509
1724236	23.66788046
3863867	23.6396161
744685	23.63698396
3317334	23.63584779
3757930	23.61485826
2192568	23.5664701
3293396	23.53896403
1000297	23.48355646
2746095	23.44946896
741447	23.40582333
3282996	23.38304607
3563639	23.30211281
2509749	23.25130322
4018740	23.20082244
135586	23.17924488
